date,bev,phev,ev,period_type
2017-01-01,0.3915,0.4282,0.8197,quarterly
2017-04-01,0.3598,0.4628,0.8225,quarterly
2017-07-01,0.4353,0.5046,0.9399,quarterly
2017-10-01,0.6269,0.7057,1.3326,quarterly
2018-01-01,0.6498,1.0354,1.6853,quarterly
2018-04-01,1.2183,1.2322,2.4505,quarterly
2018-07-01,1.2149,1.1089,2.3238,quarterly
2018-10-01,1.4173,0.9559,2.3732,quarterly
2019-01-01,1.3136,0.7461,2.0597,quarterly
2019-04-01,2.1487,1.229,3.3778,quarterly
2019-07-01,1.9042,1.1396,3.0439,quarterly
2019-10-01,1.8397,1.0144,2.8541,quarterly
2020-01-01,2.3849,1.0469,3.4317,quarterly
2020-04-01,2.0293,1.0187,3.048,quarterly
2020-07-01,2.5273,0.9329,3.4602,quarterly
2020-10-01,3.0303,1.0087,4.0389,quarterly
2021-01-01,3.3945,1.2227,4.6172,quarterly
2021-04-01,3.3439,1.6114,4.9553,quarterly
2021-07-01,3.549,1.8176,5.3666,quarterly
2021-10-01,4.2205,2.0046,6.2252,quarterly
2022-01-01,5.793,1.8606,7.6537,quarterly
2022-04-01,5.0381,1.8695,6.9076,quarterly
2022-07-01,7.4465,1.2522,8.6988,quarterly
2022-10-01,8.0164,1.6293,9.6456,quarterly
2023-01-01,6.8047,1.8998,8.7045,quarterly
2023-04-01,7.5238,2.5448,10.0686,quarterly
2023-07-01,9.5684,2.9829,12.5514,quarterly
2023-10-01,9.3551,2.9509,12.3059,quarterly
2024-01-01,6.8915,2.435,9.3265,monthly
2024-02-01,7.8729,2.7818,10.6546,monthly
2024-03-01,9.7399,3.4414,13.1813,monthly
2024-04-01,8.6461,3.0713,11.7174,monthly
2024-05-01,9.0103,3.2007,12.211,monthly
2024-06-01,9.6052,3.412,13.0172,monthly
2024-07-01,9.2469,3.2236,12.4704,monthly
2024-08-01,10.3759,3.6172,13.9931,monthly
2024-09-01,13.4812,4.6997,18.1809,monthly
2024-10-01,11.5924,3.6415,15.2339,monthly
2024-11-01,12.4775,3.9196,16.3971,monthly
2024-12-01,13.9191,4.3724,18.2915,monthly
2025-01-01,8.5051,3.4882,11.9933,monthly
2025-02-01,4.8614,1.9938,6.8553,monthly
2025-03-01,4.632,1.8997,6.5317,monthly
2025-04-01,4.7785,2.7304,7.5089,monthly
2025-05-01,5.0095,2.8625,7.872,monthly
2025-06-01,5.0328,2.8758,7.9086,monthly
2025-07-01,4.6955,3.0443,7.7398,monthly
2025-08-01,5.3346,3.4587,8.7933,monthly
2025-09-01,6.1519,3.9886,10.1405,monthly
2025-10-01,5.8391,3.0104,8.8495,monthly
2025-11-01,6.3077,3.252,9.5597,monthly
2025-12-01,8.3112,4.2849,12.5962,monthly
2026-01-01,5.0899,2.6241,7.714,monthly
