date,AB,BC,MB,NB,NL,NS,ON,PE,QC,SK
2017,0.0,15.9541,0.2742,0.132,0.0,0.1574,41.5253,0.0305,39.5704,0.1574
2018,0.0,18.7881,0.359,0.1264,0.0,0.1806,37.8381,0.0361,40.2809,0.1964
2019,0.0,30.308,0.5128,0.2966,0.0,0.2859,17.2318,0.0768,48.3224,0.3127
2020,0.0,27.9085,0.5734,0.3308,0.0,0.4576,19.3292,0.0827,48.05,0.3639
2021,0.0,27.6045,0.731,0.5471,0.0,0.7275,22.9131,0.2001,42.8352,0.5529
2022,0.0,23.9358,0.8462,0.6965,0.0,0.7863,31.2774,0.178,37.1175,0.5703
2023,0.0,23.0181,0.8466,0.925,0.0,1.0442,26.5592,0.266,42.2779,0.57
2024,3.5554,16.8149,1.0773,0.9577,0.3281,1.2199,21.3764,0.2516,53.9328,0.4859
2025,4.6561,20.1286,1.5067,1.2796,0.4118,1.4314,26.905,0.2971,42.747,0.6366
2026,6.1183,21.7766,1.8581,1.0537,0.3966,1.4956,31.124,0.2493,35.0668,0.8611
