date,AB,BC,MB,NB,NL,NS,ON,PE,QC,SK
2017,,1.2892,0.0926,0.0592,,0.051,1.0205,0.0805,1.6432,0.0548
2018,,3.6825,0.2946,0.1367,,0.1443,2.0987,0.2127,3.843,0.166
2019,,7.9337,0.5589,0.4092,,0.2991,1.2116,0.6024,5.9028,0.3547
2020,,8.5471,0.6993,0.5268,,0.5929,1.7512,0.817,6.8205,0.4415
2021,,11.8632,1.3576,1.2895,,1.3666,3.1581,2.1008,8.9511,1.0665
2022,,16.5057,2.5355,2.6335,,2.6007,6.5033,4.0168,12.2973,1.6437
2023,,21.0546,3.5418,4.9001,,4.642,7.405,7.6782,19.203,2.2684
2024,4.2042,20.7185,4.9258,5.744,2.6016,6.5469,7.3906,7.8235,30.1463,2.5296
2025,3.3876,15.9285,4.0841,4.5886,1.922,4.4055,5.8106,5.6343,15.8962,1.955
2026,3.6376,13.6042,3.7138,3.3357,1.9115,4.5236,6.2509,3.8869,12.0988,2.2379
