CMAUID,name,province,geo_type,pop_2022,reg_total_2025,reg_zev_2025,ev_share_2025,n_quarters,cum_zev_2017p,stations,ports_l2,ports_dcfc,ports_total,evs_per_port,ports_per_100k
450,Granby,Quebec,CA,93332.0,4437.0,1040.0,23.44,4,6478.0,52,122,30,152,42.6,162.9
935,Victoria,British Columbia,CMA,423136.0,11600.0,2561.0,22.08,4,16407.0,211,671,129,800,20.5,189.1
437,Cowansville,Quebec,CA,16065.0,819.0,171.0,20.88,4,1060.0,12,16,3,19,55.8,118.3
934,Squamish,British Columbia,CA,25179.0,911.0,187.0,20.53,4,1318.0,18,51,50,101,13.0,401.1
465,Salaberry-de-Valleyfield,Quebec,CA,44508.0,2311.0,473.0,20.47,4,3048.0,19,50,6,56,54.4,125.8
452,Saint-Hyacinthe,Quebec,CA,62557.0,3355.0,678.0,20.21,4,4773.0,40,98,12,110,43.4,175.8
433,Sherbrooke,Quebec,CMA,231055.0,11829.0,2388.0,20.19,4,15109.0,148,293,83,376,40.2,162.7
933,Vancouver,British Columbia,CMA,2842730.0,126483.0,25509.0,20.17,4,168340.0,1243,3029,850,3879,43.4,136.5
447,Drummondville,Quebec,CA,104076.0,4922.0,978.0,19.87,4,6687.0,37,73,52,125,53.5,120.1
945,Powell River,British Columbia,CA,17931.0,523.0,101.0,19.31,4,427.0,9,14,3,17,25.1,94.8
456,Joliette,Quebec,CA,54072.0,2829.0,541.0,19.12,4,3357.0,43,78,19,97,34.6,179.4
462,Montréal,Quebec,CMA,4378796.0,198405.0,37922.0,19.11,4,243400.0,2086,5072,778,5850,41.6,133.6
442,Trois-Rivières,Quebec,CMA,167732.0,8480.0,1538.0,18.14,4,10180.0,104,211,63,274,37.2,163.4
444,Shawinigan,Quebec,CA,56876.0,2345.0,411.0,17.53,4,3282.0,41,52,13,65,50.5,114.3
939,Parksville,British Columbia,CA,31809.0,1155.0,202.0,17.49,4,1080.0,32,57,7,64,16.9,201.2
937,Duncan,British Columbia,CA,49500.0,1484.0,249.0,16.78,4,1499.0,30,47,10,57,26.3,115.2
454,Sorel-Tracy,Quebec,CA,43038.0,2637.0,434.0,16.46,4,3019.0,31,48,4,52,58.1,120.8
932,Abbotsford - Mission,British Columbia,CMA,208961.0,7427.0,1204.0,16.21,4,7541.0,62,122,67,189,39.9,90.4
943,Courtenay,British Columbia,CA,61865.0,1915.0,310.0,16.19,4,1821.0,39,64,18,82,22.2,132.5
440,Victoriaville,Quebec,CA,51541.0,3343.0,533.0,15.94,4,3728.0,27,56,7,63,59.2,122.2
421,Québec,Quebec,CMA,848776.0,51849.0,8015.0,15.46,4,49698.0,415,926,215,1141,43.6,134.4
405,Rivière-du-Loup,Quebec,CA,29979.0,1629.0,242.0,14.86,4,1608.0,47,78,59,137,11.7,457.0
404,Rimouski,Quebec,CA,57013.0,3410.0,489.0,14.34,4,3333.0,45,108,21,129,25.8,226.3
428,Saint-Georges,Quebec,CA,33975.0,2654.0,379.0,14.28,4,2044.0,31,62,5,67,30.5,197.2
410,Alma,Quebec,CA,33195.0,2173.0,300.0,13.81,4,1985.0,18,30,8,38,52.2,114.5
930,Chilliwack,British Columbia,CA,121802.0,4054.0,552.0,13.62,4,3431.0,43,75,42,117,29.3,96.1
468,Lachute,Quebec,CA,14537.0,698.0,91.0,13.04,4,717.0,12,16,8,24,29.9,165.1
915,Kelowna,British Columbia,CMA,235473.0,9053.0,1104.0,12.19,4,5714.0,83,155,84,239,23.9,101.5
408,Saguenay,Quebec,CMA,165185.0,11631.0,1400.0,12.04,4,9598.0,85,114,61,175,54.8,105.9
940,Port Alberni,British Columbia,CA,27771.0,759.0,90.0,11.86,4,480.0,17,21,22,43,11.2,154.8
907,Nelson,British Columbia,CA,20254.0,661.0,78.0,11.8,4,464.0,8,14,2,16,29.0,79.0
423,Sainte-Marie,Quebec,CA,13608.0,856.0,100.0,11.68,4,769.0,9,19,12,31,24.8,227.8
430,Thetford Mines,Quebec,CA,29290.0,1808.0,210.0,11.62,4,1621.0,13,27,4,31,52.3,105.8
485,Rouyn-Noranda,Quebec,CA,43075.0,2952.0,341.0,11.55,4,1972.0,27,37,4,41,48.1,95.2
403,Matane,Quebec,CA,17748.0,1155.0,130.0,11.26,4,929.0,18,31,17,48,19.4,270.5
918,Vernon,British Columbia,CA,68961.0,2631.0,291.0,11.06,4,1550.0,16,35,26,61,25.4,88.5
913,Penticton,British Columbia,CA,47449.0,1755.0,185.0,10.54,4,1095.0,38,59,26,85,12.9,179.1
938,Nanaimo,British Columbia,CA,120165.0,6544.0,663.0,10.13,4,3922.0,38,73,52,125,31.4,104.0
925,Kamloops,British Columbia,CA,119408.0,4708.0,458.0,9.73,4,2264.0,46,81,46,127,17.8,106.4
480,Val-d'Or,Quebec,CA,34687.0,2422.0,235.0,9.7,4,1531.0,31,53,16,69,22.2,198.9
412,Sept-Îles,Quebec,CA,28202.0,1997.0,186.0,9.31,4,1287.0,7,9,6,15,85.8,53.2
944,Campbell River,British Columbia,CA,43529.0,1543.0,140.0,9.07,4,783.0,28,50,4,54,14.5,124.1
